,host_total_listings_count,room_type_1,room_type_2,room_type_3,room_type_4,room_type_-1,accommodates,bathrooms,bedrooms,bed_type_1,bed_type_2,bed_type_3,bed_type_4,price,guests_included,minimum_nights,maximum_nights,availability_365,number_of_reviews
2343,1.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,49,1,1,1125,0,4
2292,1.0,1,0,0,0,0,3,1.0,1.0,1,0,0,0,82,3,30,120,161,2
1379,1.0,1,0,0,0,0,4,1.0,1.0,1,0,0,0,68,3,10,1125,0,0
3079,1.0,1,0,0,0,0,3,1.0,1.0,1,0,0,0,73,1,2,1125,0,3
645,1.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,150,1,2,1125,364,0
4336,1.0,1,0,0,0,0,2,1.0,0.0,1,0,0,0,100,1,1,4,0,1
2220,1.0,1,0,0,0,0,8,1.0,2.0,1,0,0,0,196,1,2,365,64,45
587,1.0,1,0,0,0,0,6,3.0,4.0,1,0,0,0,500,1,1,1125,0,0
3310,1.0,1,0,0,0,0,6,2.0,2.0,1,0,0,0,400,2,2,20,162,37
1257,1.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,150,1,4,1125,0,0
1246,1.0,1,0,0,0,0,5,1.0,1.0,1,0,0,0,100,1,5,14,0,4
601,1.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,35,1,1,7,76,0
3281,1.0,1,0,0,0,0,2,1.0,1.0,1,0,0,0,350,1,3,5,0,0
7392,12.0,0,0,0,1,0,4,1.0,1.0,1,0,0,0,45,1,1,1125,272,2
2289,1.0,1,0,0,0,0,4,1.0,2.0,1,0,0,0,200,2,31,1125,0,36
7483,14.0,1,0,0,0,0,2,1.0,1.0,1,0,0,0,209,1,3,180,7,1
2834,1.0,1,0,0,0,0,3,1.0,1.0,1,0,0,0,222,1,3,1124,7,21
1525,1.0,1,0,0,0,0,3,1.0,2.0,1,0,0,0,160,1,1,1125,0,0
2971,1.0,1,0,0,0,0,4,2.0,3.0,1,0,0,0,750,1,1,1125,0,0
133,1.0,1,0,0,0,0,2,1.0,1.0,0,0,1,0,30,1,1,1125,0,0
888,1.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,103,1,3,6,0,0
5766,2.0,0,0,0,1,0,4,1.0,2.0,1,0,0,0,88,1,1,1125,348,5
8690,1.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,39,1,1,30,29,2
6802,5.0,0,0,0,1,0,4,1.0,1.0,0,1,0,0,30,1,2,31,54,160
8561,1.0,1,0,0,0,0,5,2.0,2.0,1,0,0,0,110,1,30,90,124,0
5940,3.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,41,1,1,14,16,57
2970,1.0,0,0,0,1,0,4,1.0,1.0,1,0,0,0,250,2,2,5,0,0
336,1.0,1,0,0,0,0,4,3.0,2.0,1,0,0,0,650,1,2,1125,0,0
2701,1.0,1,0,0,0,0,4,1.0,1.0,1,0,0,0,79,1,5,1125,280,38
7762,33.0,1,0,0,0,0,8,3.0,3.0,1,0,0,0,278,6,2,1125,306,15
4458,1.0,1,0,0,0,0,8,3.0,3.0,1,0,0,0,1000,1,5,31,365,0
